name,oblast,latitude,longitude
Житомир,Житомирська область,50.2623,28.6791
Запоріжжя,Запорізька область,47.8517,35.1171
Вінниця,Вінницька область,49.2322,28.4687
Ужгород,Закарпатська область,48.6242,22.2947
Тернопіль,Тернопільська область,49.554,25.5907
Суми,Сумська область,50.9174,34.7991
Севастопол,Автономна республіка Крим,44.608,33.5213
Рівне,Рівненська область,50.6204,26.237
Полтава,Полтавська область,49.5892,34.5537
Одеса,Одеська область,46.4857,30.7438
Миколаїв,Миколаївська область,46.9763,31.993
Львів,Львівська область,49.8383,24.0232
Луцьк,Волинська область,50.7578,25.3502
Луганськ,Луганська область,48.5681,39.3055
Київ,Київ,50.4547,30.5238
Кропивницький,Кіровоградська область,48.5083,32.2662
Хмельницький,Хмельницька область,49.4183,26.9794
Херсон,Херсонська область,46.6369,32.6146
Харків,Харківська область,49.9818,36.2548
Івано-Франківськ,Івано-Франківська область,48.9231,24.7125
Донецьк,Донецька область,48.023,37.8022
Дніпро,Дніпропетровська область,48.4666,35.0407
Чернівці,Чернівецька область,48.2904,25.9324
Чернігів,Чернігівська область,51.5054,31.2866
Черкаси,Черкаська область,49.4445,32.0574
Василівка,Запорізька область,47.4422,35.2821
Звенигородка,Черкаська область,49.0776,30.9607
Золотоноша,Черкаська область,49.6693,32.0364
Золочів,Львівська область,49.8074,24.9038
Знам’янка,Кіровоградська область,48.7207,32.6582
Жмеринка,Вінницька область,49.0352,28.114
Зіньків,Полтавська область,50.2099,34.3595
Зборів,Тернопільська область,49.6649,25.1402
Збараж,Тернопільська область,49.6616,25.7793
Заставна,Чернівецька область,48.5214,25.8426
Євпаторія,Автономна республіка Крим,45.2009,33.3665
Яворів,Львівська область,49.9377,23.3835
Ярмолинці,Хмельницька область,49.1927,26.8344
Ялта,Автономна республіка Крим,44.5022,34.1662
Вишгород,Київська область,50.5831,30.4857
Вознесенськ,Миколаївська область,47.5622,31.336
Волочиськ,Хмельницька область,49.5361,26.2068
Волноваха,Донецька область,47.6008,37.4936
Володимир-Волинський,Волинська область,50.8503,24.3212
Вижниця,Чернівецька область,48.2448,25.1811
Віньківці,Хмельницька область,49.034,27.2313
Вільнянськ,Запорізька область,47.9477,35.4403
Веселе,Запорізька область,47.0097,34.9184
Верховина,Івано-Франківська область,48.1554,24.8299
Велика Багачка,Полтавська область,49.7982,33.7201
Устинівка,Кіровоградська область,47.9562,32.5394
Уман,Черкаська область,48.7501,30.2194
Благовіщенське,Кіровоградська область,48.3282,30.2362
Тисмениця,Івано-Франківська область,48.9036,24.8469
Тячів,Закарпатська область,48.0109,23.5717
Тульчин,Вінницька область,48.674,28.8685
Олешки,Херсонська область,46.6255,32.7243
Царичанка,Дніпропетровська область,48.9419,34.486
Токмак,Запорізька область,47.2555,35.7084
Тлумач,Івано-Франківська область,48.8652,25.0038
Теребовля,Тернопільська область,49.2997,25.6889
Теофіполь,Хмельницька область,49.8389,26.4204
Бойківське,Донецька область,47.4099,38.0248
Тальне,Черкаська область,48.8889,30.6965
Сіверськодонецьк,Луганська область,48.9441,38.4875
Світловодськ,Кіровоградська область,49.0629,33.2458
Довжанськ,Луганська область,48.0761,39.6474
Сватове,Луганська область,49.4093,38.1553
Судак,Автономна республіка Крим,44.8492,34.9747
Стрий,Львівська область,49.261,23.8484
Сторожинец,Чернівецька область,48.1594,25.7214
Старокостянтинів,Хмельницька область,49.7552,27.2123
Старобільськ,Луганська область,49.2788,38.9075
Стара Синява,Хмельницька область,49.5971,27.615
Ічкі,Автономна республіка Крим,45.3427,34.9246
Солоне,Дніпропетровська область,48.2091,34.8758
Снігурівка,Миколаївська область,47.0765,32.8197
Сміла,Черкаська область,49.233,31.8843
Славута,Хмельницька область,50.2961,26.8661
